_id,book_id,t_book_id,book_title,book_pic,book_source,book_type,book_genre,special_desc,read_count,collect_count,chapter_count,is_paid,is_preview,init_read_count,init_collect_count,chapter_id,serial_number,tags,tags_original
6901b1f0e12f46f83f05026d,6901b1f0e12f46f83f05026d,140000000000000355,おかえりパパとママだよ,https://v-mps.crazymaplestudios.com/images/d28e08e0-d020-11f0-84ad-6b5693b490dc.jpg,1,1,1,"大学一年生の娘が、家族恒例の感謝祭を祝うために久しぶりに帰省する。
しかし、彼女は両親の様子がどこかおかしいことに気づいて…。",39454,673,27,1,0,7988,241,8qyf8wzqmk,1,サスペンス,Suspense
6854d0b61cc7f0fc460aa3a1,6854d0b61cc7f0fc460aa3a1,140000000000000272,人を呪わば穴二つ,https://v-mps.crazymaplestudios.com/images/f7227eb0-5236-11f0-860b-97fc2eb1c6d9.jpg,1,1,1,"専業主婦カレン、夫のトムはお金持ちの弁護士だった。ある日カレンが外出中、自宅が火災に遭い、5歳の娘アンナが瀕死状態に陥った。
熱心な市民メアリーは消防隊長ボブの運転する消防車に同乗し、一刻も早いアンナを救急治療室に運び、手術を受けさせようとした。
その途中、消防車が浮気から帰宅途中のカレンの車に衝突した。カレンは「土下座して謝罪し」と要求した上、損害賠償を求めた。メアリーと救急救命士イヴ、さらに通行人までが車を動かすよう懇願したが、カレンは頑として応じなかった。
しかし、彼女は気づいていなかった──
この消防車が必死に運んでいるのは、まさに自分自身の娘の命だということに。",589496,41038,30,1,0,198098,9509,b7k9gvf3nh,1,女性向けのドラマ|ドラマ|復讐|浮気|隣人|家庭主婦,Female|Drama|Revenge|Affair|Neighbors|Housewife
684a3c59bf0dba6aa601c07a,684a3c59bf0dba6aa601c07a,140000000000000257,調停者,https://v-mps.crazymaplestudios.com/images/b8d66d40-4cd9-11f0-860b-97fc2eb1c6d9.jpg,1,1,1,妹が保険を失い命を落としたその日から、マッテオ・レオーネの人生は一変した。絶望の中で、彼は保険会社のCEOを殺害し、自らの手で“正義”を下す道を選ぶ。だが、これは単なる復讐ではなかった。保険弱者を食い物にする腐敗した制度を暴くため、マッテオは警察の追跡をかわしながら、次々と“メッセージ”を残していく。そしていつしか、沈黙を強いられてきた人々の希望の象徴となっていく――。,291720,25645,38,1,0,240573,9863,i1rwfzpjwy,1,男向けのドラマ|復讐|モダン|守る夫|医者,Male|Revenge|Modern|Protective Husband|Doctor
686f5afe374f7f776f0f5956,686f5afe374f7f776f0f5956,140000000000000279,空飛ぶ修羅場,https://v-mps.crazymaplestudios.com/images/45f09be0-d021-11f0-84ad-6b5693b490dc.jpg,1,1,1,足を骨折しギプスを装着中のイヴは、ハワイで行われる兄の結婚式に出席するため、広めの座席を予約して飛行機に乗り込んだ。でも、機内で横柄な母親とそのわがままな息子に席の交換を強要される。飛行中に乱気流で転んだ息子を見た母親は「飛行機を引き返せ」と乗務員にクレームをつけ、騒ぎを起こした。ついに緊急着陸を余儀なくされる事態になった。その後駆けつけた母親の妹クララは、イヴを「婚約者の愛人」だと激しく糾弾したが、実はイヴは婚約者の実妹だった。この大騒動で結婚式は中止となり、クララは航空機内での暴行罪で逮捕される羽目になった。,3768813,86860,41,1,0,6919,310,j8ad74l23i,1,復讐,Revenge
68d2060f4d6ba943670b0645,68d2060f4d6ba943670b0645,140000000000000334,偽りのルナと運命のつがい,https://v-mps.crazymaplestudios.com/images/b84a4220-9dd3-11f0-a06b-bdb674869ea1.jpg,1,1,1,彼は彼女を救うため、残忍な父を殺した。新たなアルファキングとなった彼は、運命のメイトを生かすため、彼女の存在を隠し、偽りのルナを身代わりに立てることを余儀なくされる。しかし、彼が戦いで不在の隙に、彼女は偽りのルナに発見され、残虐な拷問にかけられてしまう。果たして彼女は、アルファキングが帰還し復讐を遂げるまで、生き延びることができるのだろうか？,37896,488,44,1,0,6439,250,60p7nfd8z7,1,復讐,Revenge
683fc14255a5ba21da0e3257,683fc14255a5ba21da0e3257,140000000000000248,血塗られた花嫁 ～ 愛は狂気に染まる～,https://v-mps.crazymaplestudios.com/images/dfc13df0-45c6-11f0-860b-97fc2eb1c6d9.jpg,1,1,1,メアと婚約者のニックは貧乏であるが愛を持っている。孤児として育ったメアは、自分の家族がいない分、ニックの家族に囲まれた結婚式を夢見ていたが、ニックは疎遠になった家族のことを話そうとしない。そんな中、ニックの母親が突然現れ、メアを裕福で謎めいたソーンウッド家へと温かく迎え入れる。さらに、彼女はソーンウッド家の豪邸での結婚式を提案する。しかし、式当日の朝、恐ろしい真実がメアの夢を打ち砕き、彼女は「幸せな結婚式」どころか、ソーンウッド家の暗い歴史に翻弄される悪夢へと足を踏み入れようとしていることに気づく——そして、その結末は彼女の命を奪うかもしれない。,1226801,40774,47,1,0,233109,11189,fw6z20j2i4,1,女性向けのドラマ|悪女ヒロイン|モダン|身分を隠せ|秘密|ストロングウィル,Female|Strong Heroine|Modern|Hidden Identity|Secret|Strong-Willed
683555d81e10c5078109db7f,683555d81e10c5078109db7f,140000000000000238,私を捨てた消防士が今や大富豪！？,https://v-mps.crazymaplestudios.com/images/96e59980-40f5-11f0-b65a-27549cd2a91e.jpg,1,1,1,アーチャーはアリスとの結婚式に姿を現さなかった――消防任務中の爆発で命を落としたという噂が流れる。悲しみに暮れるアリスをよそに、欲深い両親は彼女を嫌な男フィリップに嫁がせようとする。新たな結婚式の日、アリスはついにアーチャーと再会するが、彼は別の女性と婚約していた――。,2476963,50679,50,1,0,200338,8014,j1kpjfo3q6,1,女性向けのドラマ|二度目のチャンス|モダン|三角関係|復讐|再会|相続人/社会人|インディペンデント・ウーマン,Female|Second Chance|Modern|Love Triangle|Revenge|Reunion|Heiress/Socialite|Independent Woman
6891d5baab41bb6d890f74c6,6891d5baab41bb6d890f74c6,140000000000000298,お前は天才外科医を解雇した,https://v-mps.crazymaplestudios.com/images/2f074a60-767a-11f0-a06b-bdb674869ea1.jpg,1,1,1,国で最も名高い外科医エイドリアン・マークスマンは、上司の息子に解雇される。彼はライバル病院の才気あふれる野心家ヴィヴィアン・ハートと手を組み、元の病院は経営破綻に追い込まれる。プレストンが優秀な医師を切った代償に気づいた時には、もう遅かった…,180901,1411,50,1,0,5895,233,7o89lak6xj,1,カムバックストーリー,Comeback Story
67b29b077d337cf4930211f0,67b29b077d337cf4930211f0,140000000000000176,偽装結婚は恋の始まり,https://v-mps.crazymaplestudios.com/images/da30f490-f31c-11ef-a38f-0d66b56fc320.jpg,1,1,1,命の恩人アライナに秘かな想いを寄せる大実業家ウィリアム。甥のジェイソンと婚約したアライナとの距離を保とうとするも、ジェイソンの裏切りで婚約は破談に。認知症の祖母の願いを叶えるため、アライナはウィリアムに1年限定の偽装結婚を持ちかける。表向きは契約婚だが、少しずつ芽生えるのは本物の愛——。,3187821,63371,51,1,0,224530,8802,pgf6t4ksin,1,女性向けのドラマ|悪女ヒロイン|モダン|身分を隠せ|とぼける|タブー|億万長者|インディペンデント・ウーマン,Female|Strong Heroine|Modern|Hidden Identity|Playing Dumb|Taboo|Billionaire|Independent Woman
67d783bf58f79dd7d108992c,67d783bf58f79dd7d108992c,140000000000000186,切ない愛を終らせて,https://v-mps.crazymaplestudios.com/images/4b646dd0-03cc-11f0-a38f-0d66b56fc320.jpg,1,1,1,ガン宣告を受け余命三ヶ月と告げられたキャロラインの前に、夫エリックの元恋人ステイシーが6歳の子供を連れて現れる。その子はエリックの子だという。裏切りを重ねるエリックに対し、キャロラインは絶望の中で離婚を決意する。彼女がいない生活が始まって初めて、エリックは失った愛の大きさと彼女の病気の真実を知る。しかしもう遅い。キャロラインは最後の日々を彼を愛することに費やすつもりはなく、自分自身のために生きることを選んだのだ。,3987807,40715,51,1,0,178650,6146,f8qvxbmu1z,1,女性向けのドラマ|中毒性がある恋愛|モダン|離婚後の愛|三角関係|あまりに遅すぎる|家庭主婦,Female|Toxic Love|Modern|Love After Divorce|Love Triangle|All-Too-Late|Housewife
